GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Vitamina A     (µg RE),Acido Ascórbico   (mg),Acido Fólico (µg),Hierro NO HEM (mg),Potasio (mg),Azúcar por equivalente (g),indice glicémuco,Carga glicémica
FRUTAS,Grosellas,1,taza,150,150,66,1.3,0.9,15.3,6.4,22.0,42.0,9.0,0.5,297.0,0.0,ND,ND
FRUTAS,Grosellas en almibar,1/4,taza,63,63,46,0.4,0.1,11.8,1.5,4.5,6.3,1.9,0.2,48.5,0.0,ND,ND
FRUTAS,Grosellas negras,1,taza,112,112,71,1.6,0.5,17.2,0.0,13.0,203.0,0.0,1.7,361.0,0.0,ND,ND
FRUTAS,Grosellas rojas o blancas,1,taza,112,112,63,1.6,0.2,15.5,4.8,2.0,46.0,9.0,1.1,308.0,8.3,ND,ND
FRUTAS,Guanábana,1,pieza chica,350,238,90,1.0,3.8,15.5,9.0,92.8,50.0,0.0,5.5,0.0,0.0,ND,ND
FRUTAS,Guayaba,3,pieza,135,124,63,1.0,0.7,14.8,7.0,39.7,227.3,0.0,0.4,252.7,0.0,ND,ND
FRUTAS,Guayaba rosa,1,pieza,90,77,52,2.0,0.7,11.0,4.1,6.9,28.0,0.0,0.2,223.2,6.8,ND,ND
FRUTAS,Higo,2,pieza,80,72,53,0.6,0.1,13.8,2.1,10.1,1.4,4.3,0.3,167.0,11.7,ND,ND
FRUTAS,Higo deshidratado,1,pieza,19,19,47,0.6,0.2,11.9,1.8,2.4,0.1,1.4,0.4,133.1,9.0,61.0,7.3
FRUTAS,Jinicuil,250,g,250,50,73,6.0,0.5,13.5,0.5,10.0,14.0,0.0,1.0,0.0,0.0,ND,ND
FRUTAS,Jugod de limón,3/4,taza,180,180,45,0.7,0.0,15.6,0.7,3.7,82.6,22.9,0.1,223.5,4.3,ND,ND
FRUTAS,Jugo de mamey,1/3,taza,80,80,52,0.6,0.1,12.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,ND,ND
FRUTAS,Jugo de mandarina natural,1/2,taza,120,120,46,0.8,0.0,11.3,1.4,0.0,0.0,0.0,0.0,0.0,9.9,ND,ND
FRUTAS,Jugo de mango,1/2,taza,120,120,61,0.1,0.1,15.7,0.4,0,0.0,0.0,0.0,0.0,14.9,ND,ND
FRUTAS,Jugo de naranja natural,1/2,taza,120,120,54,0.8,0.2,12.5,0.2,24.2,60.0,36.3,0.2,240.0,10.1,46.0,5.7
FRUTAS,Jugo de papaya,1/3,taza,79,79,45,0.1,0.1,11.5,0.5,0,0.0,0.0,0.0,0.0,11.0,ND,ND
FRUTAS,Jugo de toronja natural,1/2,taza,120,120,47,0.6,0.1,11.0,0.1,1.0,45.7,12.1,0.2,194.3,10.1,48.0,5.3
FRUTAS,Kiwi,1 1/2,pieza,132,114,69,1.2,0.6,16.6,3.4,20.9,110.5,43.3,0.5,376.4,10.2,53.0,8.8
FRUTAS,Lichis,12,pieza,180,90,59,0.7,0.3,14.9,1.2,0.0,0.0,0.0,0.0,0.0,13.7,79.0,11.8
FRUTAS,Lima,3,pieza,234,147,44,1.0,0.3,15.5,4.1,5.1,78.8,15.3,0.9,203.3,2.5,ND,ND
FRUTAS,Limón real,4,pieza,232,153,31,1.8,0.5,16.4,7.2,0.0,45.9,0.0,2.4,0.0,0.0,ND,ND
