GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Vitamina A     (µg RE),Acido Ascórbico (mg),Acido Fólico (µg),Hierro NO HEM (mg),Potasio (mg),Indice glicémico,Carga glicémica
VERDURAS,Espinaca cocida,1/2,taza,90,90,21,2.7,2.7,3.4,3.2,471.6,8.8,131.1,3.2,419.0,ND,ND
VERDURAS,Espinaca cruda picada,2,taza,120,120,28,3.4,3.4,4.4,2.6,562.8,33.7,232.8,3.3,669.6,ND,ND
VERDURAS,Flor de calabaza cocida,1,taza,134,134,20,1.4,1.4,4.4,1.2,116.6,6.0,54.0,1.2,142.0,ND,ND
VERDURAS,Flor de calabaza cruda picada,4,taza,132,132,20,1.2,1.2,4.4,ND,128.0,36.0,76.0,0.9,228.0,ND,ND
VERDURAS,Flor de colorín cocida,1/2,taza,40,40,24,1.8,1.8,4.0,1.0,2.6,14.8,ND,1.0,ND,ND,ND
VERDURAS,Flor de colorín cruda,1,taza,40,40,24,1.8,1.8,4.0,1.0,2.6,14.8,ND,1.0,ND,ND,ND
VERDURAS,Flor de garambullo cruda,50,g,50,50,19,0.4,0.4,4.1,0.4,10.5,20.0,ND,2.2,ND,ND,ND
VERDURAS,Flor de maguey cruda,60,g,60,60,21,0.5,0.5,4.4,0.4,14.4,35.4,ND,0.5,ND,ND,ND
VERDURAS,Flor de Yuca cruda,75,g,75,75,29,2.0,2.0,4.5,0.5,0.8,204.8,ND,0.5,ND,ND,ND
VERDURAS,Germen de alfalfa cruda,3,taza,99,99,23,4.0,4.0,2.1,1.9,7.9,8.1,35.6,1.0,78.0,ND,ND
VERDURAS,Germen de lenteja crudo,1/4,taza,19,19,20,1.7,1.7,4.3,ND,0.4,3.2,19.3,0.6,62.0,ND,ND
VERDURAS,Germen de soya cocidpo,1/3,taza,31,31,25,2.7,1.4,2.1,0.3,0.6,2.6,25.1,0.4,111.3,ND,ND
VERDURAS,Granos de elote crudos,2,cuchara,21,21,18,0.7,0.2,4.0,0.6,1.9,0.4,9.7,0.1,56.7,54.0,2.2
VERDURAS,Haba verde,4,pieza,32,32,23,1.8,0.2,3.7,1.3,5.8,10.6,30.7,0.6,80.0,55.0,2.1
VERDURAS,Hojas de amaranto cocidas,100,g,100,100,21,2.1,0.2,4.1,ND,139.0,41.1,57.0,2.3,641.0,ND,ND
VERDURAS,Hojas de amaranto crudas,6,hojas,84,84,19,2.1,0.3,3.4,ND,122.6,36.4,71.4,1.9,513.2,ND,ND
VERDURAS,Hojas de chicoria cruda,130,g,130,130,26,1.6,0.3,4.4,1.2,133.3,9.1,184.6,1,408.2,ND,ND
VERDURAS,Hojas de dientes de león,50,g,50,45,24,1.2,0.3,4.1,0.8,49.1,15.8,ND,1.4,178.7,ND,ND
VERDURAS,Hojas de pata de paloma,30,g,30,25,20,0.8,0.4,4.2,0.4,21.9,11.1,ND,1.5,ND,ND,ND
VERDURAS,Hojas de remolacha!  crudas,2,hojas,64,64,14,1.4,0.1,2.8,2.4,202.2,19.2,9.6,1.6,487.7,ND,ND
VERDURAS,Hojas de remolacha! hervida,1/2,taza,72,72,19,1.9,0.1,3.9,2.1,603.4,17.9,10.1,1.4,654.5,ND,ND
VERDURAS,Hongos porrtobello crudo,1,pieza,84,81,21,2.0,0.2,4.1,1.2,0.0,0.0,17.9,0.5,394.4,ND,ND
VERDURAS,Hongos shiitake deshidratados,1,pieza,4,4,11,0.3,0.0,2.7,0.4,0.0,0.1,5.9,0.1,55.2,ND,ND
VERDURAS,Hongos crudos,1,taza,70,63,17,2.0,0.3,2.8,1.6,0.0,1.9,13.2,2.7,233.1,ND,ND
VERDURAS,Huanzontle,1/2,taza,40,40,24,1.8,0.3,4.8,1.1,50.4,18.0,ND,2.4,ND,ND,ND
VERDURAS,Huitlacoche cocido,1/3,taza,66,66,20,8.0,0.1,4.1,1.2,0.0,2.6,ND,0.3,107.5,ND,ND
VERDURAS,Ibes frescos,30,g,30,17,22,1.7,0.0,3.6,0.5,7.2,2.6,ND,0.2,107.3,ND,ND
VERDURAS,Jicama picada,1/2,taza,60,60,23,4.0,0.1,5.3,2.9,0.6,12.1,7.2,0.4,90.0,ND,ND
VERDURAS,Jitomate,120,g,120,113,20,1.0,0.2,4.4,1.4,47.4,14.3,16.9,0.3,267.3,ND,ND
VERDURAS,Jitomate bola,1,pieza,123,108,19,1.0,0.2,4.2,1.3,45.5,13.7,16.2,0.3,256.5,ND,ND
VERDURAS,Jitomate cereza,4,pieza,100,95,17,0.8,0.2,3.7,1.1,39.9,12.1,14.3,0.3,225.2,ND,ND
VERDURAS,Jitomate deshidratado,5,pieza,10,10,23,1.5,0.5,4.3,2.0,5.0,5.0,0.0,0.5,0.0,ND,ND
VERDURAS,Jitomate guaje o saladet,2,pieza,130,124,22,1.1,0.2,4.8,1.5,51.9,15.7,18.5,0.3,292.7,ND,ND
VERDURAS,Jitomate verde,1,pieza,123,123,28,1.5,0.2,6.3,1.4,39.4,29.0,11.0,0.6,251.0,ND,ND
