grupo,nombre,aporte,cantidad
A.O.A.BAJO EN GRASA,Carne promedio,Calcio (mg),3.4
A.O.A.BAJO EN GRASA,Carne promedio,Hierro (mg),0.9
A.O.A.BAJO EN GRASA,Carne promedio,Sodio (mg),18.5
A.O.A.BAJO EN GRASA,Carne promedio,Selenio (mg),5.7
A.O.A.BAJO EN GRASA,Carnero,Cantidad sugerida,50
A.O.A.BAJO EN GRASA,Carnero,Unidad,g
A.O.A.BAJO EN GRASA,Carnero,Peso bruto redondeado (g),50
A.O.A.BAJO EN GRASA,Carnero,Peso neto (g),40
A.O.A.BAJO EN GRASA,Carnero,Energia (Kcal),54
A.O.A.BAJO EN GRASA,Carnero,Proteina (g),7.6
A.O.A.BAJO EN GRASA,Carnero,Lípidos (g),2.4
A.O.A.BAJO EN GRASA,Carnero,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Carnero,Colesterol (mg),26.0
